trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780258}",20,9,-13.954870908550749,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",20,0,-132.09138366648037,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",30,0,-185.61214689895507,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",25,0,-175.34170628984023,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",25,0,-88.6705507574537,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",25,0,-195.57604291906378,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",20,0,-139.5175647390666,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.6967067093471654}",30,10,-69.17721754852472,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.1, 'e': 0.6216099682706644}",30,0,-218.64015128941375,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 5}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681397}",20,0,-114.0465621696183,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",20,8,-115.59867943723123,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 2}",1
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",20,0,-94.13411638319597,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",35,19,-2.171417844919893,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",25,0,-20.699225559784377,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",25,8,19.474827999104104,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.029199522301288815}",20,0,15.480539602516055,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.12884449429552486}",20,15,10.308072440423679,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.2272020946930871}",20,0,-88.13076085869602,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.3232895668635036}",20,0,-80.0097611886962,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.4161468365471424}",35,18,-23.894463690505695,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.1, 'e': 0.5048461045998576}",25,0,-97.18107547919031,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.5885011172553458}",25,0,-81.99535754123421,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.6662760212798244}",25,0,-158.55272999292643,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
24,False,"{'a': 0.1, 'e': 0.7373937155412458}",20,4,-50.416730022989036,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 0}",1
25,False,"{'a': 0.1, 'e': 0.8011436155469337}",25,0,-151.68946875313355,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
26,False,"{'a': 0.1, 'e': 0.8568887533689473}",20,0,-124.53650831127214,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
27,False,"{'a': 0.1, 'e': 0.9040721420170612}",25,0,-80.55804976629119,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.9422223406686583}",20,0,-68.71024851036026,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.1, 'e': 0.9709581651495907}",20,0,-70.33352948862999,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.1, 'e': 0.9899924966004454}",25,0,-87.47664369070947,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.9991351502732795}",25,0,-123.5802225187272,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
32,False,"{'a': 0.1, 'e': 0.9982947757947531}",25,0,-94.73400641192063,"{0: 11, 1: 6, 2: 8, 3: 0, 4: 0}",0
33,False,"{'a': 0.1, 'e': 0.9874797699088649}",35,0,-166.98446105372585,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
34,False,"{'a': 0.1, 'e': 0.9667981925794609}",25,0,-75.02474674798026,"{0: 15, 1: 8, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.9364566872907963}",30,1,-48.27613672572208,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.896758416334147}",20,0,-34.55467396079526,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.848100031710408}",20,0,-25.213698563659523,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.1, 'e': 0.7909677119144165}",35,3,-142.01462358787563,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 2}",1
39,False,"{'a': 0.1, 'e': 0.7259323042001399}",20,0,-83.92109147782041,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.6536436208636119}",20,8,-5.300218962318412,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.5748239465332685}",20,0,-76.18980242604702,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.1, 'e': 0.4902608213406994}",20,0,-10.085568148661604,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.40079917207997545}",25,0,-69.03978445900876,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.30733286997841935}",20,0,-5.586690569163672,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.1, 'e': 0.2107957994307797}",20,0,-81.1197129390497,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.11215252693505398}",25,14,22.118595377959192,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.01238866346289056}",35,7,-7.622075755148149,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.1, 'e': 0.08749898343944727}",20,0,-39.9316603908939,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.18651236942257576}",25,0,-107.3371257580256,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.1, 'e': 0.28366218546322625}",20,8,7.3237825271232655,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.37797774271298107}",20,0,-37.17801019120032,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.4685166713003771}",20,0,-64.32165441321422,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.5543743361791615}",20,0,-85.38949604067965,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.6346928759426347}",30,18,-23.47222546567553,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.70866977429126}",25,0,-80.64162249008898,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.7755658785102502}",25,14,-3.709145967615733,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.8347127848391598}",25,0,-46.2432974222546,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.1, 'e': 0.8855195169413194}",30,0,-140.56396047458358,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
59,False,"{'a': 0.1, 'e': 0.9274784307440359}",20,0,-107.30522736619778,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.960170286650366}",25,7,-60.27730993471023,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.1, 'e': 0.9832684384425847}",25,0,-72.54742855964975,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9965420970232175}",25,4,-79.25976009895588,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.1, 'e': 0.9998586363834151}",20,0,-133.92005644286115,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
64,False,"{'a': 0.1, 'e': 0.9931849187581926}",20,0,-126.33855502754211,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
