trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780258}",20,0,-31.67965383345188,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",30,5,-72.33509838869601,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.1, 'e': 0.955336489125606}",25,0,-105.52144543389919,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",20,0,-149.63052188694365,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,0,-85.18930385449332,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",35,0,-159.96369326453527,"{0: 20, 1: 8, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",30,0,-139.24605702305377,"{0: 21, 1: 5, 2: 0, 3: 1, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.6967067093471654}",35,0,-144.99803961108964,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.6216099682706644}",20,0,-60.453603640302966,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681397}",20,0,-16.858950014755642,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",25,0,-98.06881159735781,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",25,7,-92.67240881548965,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 1}",1
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",20,0,-127.14015854968201,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",25,8,-101.72950926554623,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 1}",1
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",20,6,-32.22008102162353,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.029199522301288815}",20,0,-131.80901335741885,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.12884449429552486}",25,0,-106.86558344008097,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
